acetone: 	 24.8710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=22, tm_sec=12, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=22, tm_sec=38, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=23, tm_sec=4, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8677:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=12, tm_sec=9, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8677:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=12, tm_sec=35, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8676:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=13, tm_sec=1, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=44, tm_sec=4, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8628:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=44, tm_sec=29, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8628:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=44, tm_sec=55, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.8573:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=16, tm_sec=5, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8573:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=16, tm_sec=31, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8573:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=16, tm_sec=56, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8518:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=48, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8518:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=48, tm_sec=47, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8518:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=49, tm_sec=13, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8461:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=20, tm_sec=27, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8462:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=20, tm_sec=53, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8461:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=21, tm_sec=19, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8413:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=52, tm_sec=27, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8412:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=52, tm_sec=53, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8413:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=53, tm_sec=19, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8349:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=24, tm_sec=39, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8349:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=25, tm_sec=5, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8348:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=25, tm_sec=30, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8277:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=56, tm_sec=40, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8277:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=57, tm_sec=6, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8277:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=14, tm_min=57, tm_sec=32, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8218:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=17, tm_min=28, tm_sec=27, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.8219:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=17, tm_min=28, tm_sec=53, tm_wday=3, tm_yday=102, tm_isdst=1) 
