acetone: 	 24.6049:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=52, tm_sec=13, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6049:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=52, tm_sec=38, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6049:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=53, tm_sec=4, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6037:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=27, tm_sec=24, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6037:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=27, tm_sec=50, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6037:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=28, tm_sec=15, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6033:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=59, tm_sec=19, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6033:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=59, tm_sec=45, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 24.6033:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=0, tm_min=0, tm_sec=11, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6032:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=31, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.6032:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=31, tm_sec=47, tm_wday=3, tm_yday=102, tm_isdst=1) 
