ethanol: 	 27.3768:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=20, tm_sec=16, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3768:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=20, tm_sec=42, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3768:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=18, tm_min=21, tm_sec=8, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3767:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=41, tm_sec=1, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3768:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=41, tm_sec=27, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3768:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=20, tm_min=41, tm_sec=53, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3777:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=12, tm_sec=55, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3777:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=13, tm_sec=21, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3777:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=13, tm_sec=47, tm_wday=2, tm_yday=101, tm_isdst=1) 
ethanol: 	 27.3765:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=44, tm_sec=51, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3765:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=45, tm_sec=17, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3765:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=1, tm_min=45, tm_sec=43, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3766:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=17, tm_sec=4, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3766:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=17, tm_sec=30, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3766:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=17, tm_sec=56, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3765:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=49, tm_sec=20, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3765:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=49, tm_sec=46, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3766:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=6, tm_min=50, tm_sec=12, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3762:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=21, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3763:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=21, tm_sec=46, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3763:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=22, tm_sec=12, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 27.3761:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=11, tm_min=53, tm_sec=25, tm_wday=3, tm_yday=102, tm_isdst=1) 
