ethanol: 	 0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=8, tm_sec=55, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=9, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=9, tm_sec=46, tm_wday=3, tm_yday=102, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=0, tm_min=40, tm_sec=59, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=0, tm_min=41, tm_sec=24, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=0, tm_min=41, tm_sec=50, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0004:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=13, tm_sec=8, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0005:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=13, tm_sec=34, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0005:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=13, tm_sec=59, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=5, tm_min=45, tm_sec=15, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=5, tm_min=45, tm_sec=41, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0000:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=5, tm_min=46, tm_sec=7, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=8, tm_min=17, tm_sec=10, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=8, tm_min=17, tm_sec=35, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0001:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=8, tm_min=18, tm_sec=1, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0005:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=10, tm_min=49, tm_sec=17, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0005:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=10, tm_min=49, tm_sec=43, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0006:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=10, tm_min=50, tm_sec=8, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=13, tm_min=21, tm_sec=23, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=13, tm_min=21, tm_sec=49, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=13, tm_min=22, tm_sec=15, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 -0.0003:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=15, tm_min=53, tm_sec=35, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=15, tm_min=54, tm_sec=1, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 -0.0002:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=15, tm_min=54, tm_sec=27, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9279:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=25, tm_sec=37, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9279:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=26, tm_sec=3, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9278:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=26, tm_sec=28, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9135:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=20, tm_min=57, tm_sec=37, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9135:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=20, tm_min=58, tm_sec=3, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9134:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=20, tm_min=58, tm_sec=28, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9017:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=29, tm_sec=41, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9017:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=30, tm_sec=6, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.9017:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=23, tm_min=30, tm_sec=32, tm_wday=4, tm_yday=103, tm_isdst=1) 
ethanol: 	 26.8973:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=2, tm_min=1, tm_sec=38, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8973:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=2, tm_min=2, tm_sec=4, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8973:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=2, tm_min=2, tm_sec=30, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8953:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=4, tm_min=33, tm_sec=44, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8953:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=4, tm_min=34, tm_sec=10, tm_wday=5, tm_yday=104, tm_isdst=1) 
