acetone: 	 24.5478:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=39, tm_sec=48, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5478:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=40, tm_sec=13, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5477:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=22, tm_min=40, tm_sec=39, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 24.5088:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=1, tm_min=12, tm_sec=0, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.5086:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=1, tm_min=12, tm_sec=26, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.5085:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=1, tm_min=12, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4710:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=44, tm_sec=12, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4709:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=44, tm_sec=37, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4708:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=3, tm_min=45, tm_sec=3, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4333:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=6, tm_min=16, tm_sec=2, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4332:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=6, tm_min=16, tm_sec=28, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.4331:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=6, tm_min=16, tm_sec=53, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3952:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=8, tm_min=48, tm_sec=8, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3951:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=8, tm_min=48, tm_sec=34, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3950:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=8, tm_min=49, tm_sec=0, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3579:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=11, tm_min=20, tm_sec=9, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3578:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=11, tm_min=20, tm_sec=35, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3576:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=11, tm_min=21, tm_sec=0, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3180:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=13, tm_min=52, tm_sec=24, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3180:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=13, tm_min=52, tm_sec=50, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.3178:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=13, tm_min=53, tm_sec=16, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.2759:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=16, tm_min=24, tm_sec=31, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.2758:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=16, tm_min=24, tm_sec=57, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.2757:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=16, tm_min=25, tm_sec=23, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.2332:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=56, tm_sec=26, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.2331:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=56, tm_sec=52, tm_wday=4, tm_yday=103, tm_isdst=1) 
acetone: 	 24.2330:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=12, tm_hour=18, tm_min=57, tm_sec=18, tm_wday=4, tm_yday=103, tm_isdst=1) 
