acetone: 	 26.9868:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=7, tm_sec=17, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9868:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=7, tm_sec=42, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9867:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=19, tm_min=8, tm_sec=8, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9857:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=4, tm_sec=36, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9856:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=5, tm_sec=2, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9856:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=21, tm_min=5, tm_sec=28, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9844:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=36, tm_sec=30, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9844:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=36, tm_sec=56, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9844:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=10, tm_hour=23, tm_min=37, tm_sec=22, tm_wday=2, tm_yday=101, tm_isdst=1) 
acetone: 	 26.9831:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=8, tm_sec=29, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9831:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=8, tm_sec=55, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9831:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=2, tm_min=9, tm_sec=21, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9820:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=40, tm_sec=45, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9820:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=41, tm_sec=11, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9820:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=4, tm_min=41, tm_sec=37, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9807:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=12, tm_sec=53, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9807:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=13, tm_sec=19, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9807:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=7, tm_min=13, tm_sec=44, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9798:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=44, tm_sec=55, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9798:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=45, tm_sec=20, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9798:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=9, tm_min=45, tm_sec=46, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9780:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=17, tm_sec=5, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9780:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=17, tm_sec=31, tm_wday=3, tm_yday=102, tm_isdst=1) 
acetone: 	 26.9780:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=11, tm_hour=12, tm_min=17, tm_sec=56, tm_wday=3, tm_yday=102, tm_isdst=1) 
