ethanol: 	 24.7431:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=31, tm_sec=34, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7431:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=32, tm_sec=0, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7431:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=32, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7428:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=23, tm_min=3, tm_sec=22, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7428:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=23, tm_min=3, tm_sec=48, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7428:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=23, tm_min=4, tm_sec=14, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 24.7422:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=35, tm_sec=9, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7422:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=35, tm_sec=35, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7422:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=36, tm_sec=1, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7419:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=4, tm_min=6, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7419:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=4, tm_min=7, tm_sec=17, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7419:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=4, tm_min=7, tm_sec=42, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7417:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=38, tm_sec=32, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 24.7417:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=38, tm_sec=57, tm_wday=5, tm_yday=111, tm_isdst=1) 
