ethanol: 	 26.1948:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=48, tm_sec=49, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1948:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=49, tm_sec=15, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1948:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=49, tm_sec=41, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1953:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=20, tm_sec=40, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1953:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=21, tm_sec=6, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1953:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=21, tm_sec=32, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=52, tm_sec=31, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=52, tm_sec=57, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=53, tm_sec=22, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.1964:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=24, tm_sec=18, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1964:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=24, tm_sec=44, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1964:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=25, tm_sec=10, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1967:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=56, tm_sec=14, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1968:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=56, tm_sec=40, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1968:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=57, tm_sec=6, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1969:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=28, tm_sec=16, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1970:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=28, tm_sec=41, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1970:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=29, tm_sec=7, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=8, tm_min=0, tm_sec=10, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=8, tm_min=0, tm_sec=36, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=8, tm_min=1, tm_sec=2, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=32, tm_sec=2, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=32, tm_sec=28, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1971:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=32, tm_sec=53, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=13, tm_min=3, tm_sec=58, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=13, tm_min=4, tm_sec=23, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=13, tm_min=4, tm_sec=49, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1963:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=36, tm_sec=2, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=36, tm_sec=28, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1961:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=36, tm_sec=53, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1960:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=18, tm_min=7, tm_sec=49, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1960:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=18, tm_min=8, tm_sec=15, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1960:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=18, tm_min=8, tm_sec=41, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1955:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=39, tm_sec=27, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1955:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=39, tm_sec=53, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1955:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=40, tm_sec=19, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1951:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=23, tm_min=11, tm_sec=16, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1951:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=23, tm_min=11, tm_sec=42, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1951:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=23, tm_min=12, tm_sec=8, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.1945:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=43, tm_sec=3, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1945:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=43, tm_sec=29, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1945:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=43, tm_sec=55, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1940:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=4, tm_min=14, tm_sec=44, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1940:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=4, tm_min=15, tm_sec=9, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1940:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=4, tm_min=15, tm_sec=35, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1938:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=46, tm_sec=25, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1938:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=46, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1938:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=47, tm_sec=16, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=9, tm_min=18, tm_sec=16, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=9, tm_min=18, tm_sec=42, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=9, tm_min=19, tm_sec=7, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1927:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=50, tm_sec=3, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1927:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=50, tm_sec=29, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1927:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=50, tm_sec=54, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1923:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=14, tm_min=21, tm_sec=58, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1923:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=14, tm_min=22, tm_sec=23, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1923:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=14, tm_min=22, tm_sec=49, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1921:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=53, tm_sec=53, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1921:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=54, tm_sec=19, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1921:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=16, tm_min=54, tm_sec=45, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1925:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=19, tm_min=25, tm_sec=40, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1925:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=19, tm_min=26, tm_sec=6, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1925:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=19, tm_min=26, tm_sec=32, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1931:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=57, tm_sec=27, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1931:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=57, tm_sec=53, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1931:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=21, tm_min=58, tm_sec=18, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=0, tm_min=29, tm_sec=14, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=0, tm_min=29, tm_sec=40, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=0, tm_min=30, tm_sec=5, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1935:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=3, tm_min=0, tm_sec=54, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1935:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=3, tm_min=1, tm_sec=20, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1935:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=3, tm_min=1, tm_sec=46, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1933:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=5, tm_min=32, tm_sec=44, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1934:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=5, tm_min=33, tm_sec=10, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1934:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=5, tm_min=33, tm_sec=36, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1929:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=8, tm_min=4, tm_sec=21, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1929:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=8, tm_min=4, tm_sec=47, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1929:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=8, tm_min=5, tm_sec=12, tm_wday=6, tm_yday=112, tm_isdst=1) 
ethanol: 	 26.1927:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=21, tm_hour=10, tm_min=35, tm_sec=58, tm_wday=6, tm_yday=112, tm_isdst=1) 
