ethanol: 	 26.0616:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=25, tm_sec=22, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0616:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=25, tm_sec=48, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0616:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=26, tm_sec=14, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0622:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=57, tm_sec=15, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0622:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=57, tm_sec=41, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0622:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=58, tm_sec=7, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0628:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=29, tm_sec=5, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0628:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=29, tm_sec=31, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0628:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=29, tm_sec=56, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 26.0632:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=0, tm_sec=53, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0632:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=1, tm_sec=18, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0632:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=1, tm_sec=44, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0635:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=32, tm_sec=45, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0635:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=33, tm_sec=11, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0635:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=33, tm_sec=37, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0637:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=4, tm_sec=47, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0637:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=5, tm_sec=13, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0637:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=5, tm_sec=38, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0638:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=36, tm_sec=43, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0638:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=37, tm_sec=9, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0638:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=37, tm_sec=34, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0639:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=8, tm_sec=34, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0638:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=9, tm_sec=0, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0638:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=9, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=40, tm_sec=30, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=40, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=41, tm_sec=22, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=12, tm_sec=30, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=12, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0629:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=13, tm_sec=21, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0627:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=44, tm_sec=23, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0627:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=44, tm_sec=48, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0627:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=45, tm_sec=14, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0624:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=16, tm_sec=3, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0624:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=16, tm_sec=29, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0624:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=16, tm_sec=55, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0619:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=47, tm_sec=51, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0619:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=48, tm_sec=17, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0619:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=48, tm_sec=43, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 26.0613:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=19, tm_sec=38, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0614:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=20, tm_sec=4, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0614:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=1, tm_min=20, tm_sec=30, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0609:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=51, tm_sec=20, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0609:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=51, tm_sec=46, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0610:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=3, tm_min=52, tm_sec=11, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0607:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=23, tm_sec=0, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0607:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=23, tm_sec=26, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0607:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=6, tm_min=23, tm_sec=51, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0604:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=54, tm_sec=49, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0604:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=55, tm_sec=14, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0604:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=8, tm_min=55, tm_sec=40, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0597:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=26, tm_sec=39, tm_wday=5, tm_yday=111, tm_isdst=1) 
ethanol: 	 26.0598:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=20, tm_hour=11, tm_min=27, tm_sec=5, tm_wday=5, tm_yday=111, tm_isdst=1) 
