ethanol: 	 25.9324:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=33, tm_sec=6, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9324:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=33, tm_sec=32, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9324:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=33, tm_sec=58, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9329:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=4, tm_sec=59, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9330:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=5, tm_sec=25, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9330:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=19, tm_min=5, tm_sec=50, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=36, tm_sec=48, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=37, tm_sec=14, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=37, tm_sec=40, tm_wday=3, tm_yday=109, tm_isdst=1) 
ethanol: 	 25.9340:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=8, tm_sec=37, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9340:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=9, tm_sec=3, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9339:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=0, tm_min=9, tm_sec=29, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9341:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=40, tm_sec=30, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9341:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=40, tm_sec=56, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9341:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=41, tm_sec=22, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9345:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=12, tm_sec=32, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9345:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=12, tm_sec=58, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9345:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=5, tm_min=13, tm_sec=23, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9346:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=44, tm_sec=27, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9346:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=44, tm_sec=53, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9346:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=7, tm_min=45, tm_sec=19, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9345:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=16, tm_sec=19, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9345:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=16, tm_sec=45, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9345:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=10, tm_min=17, tm_sec=10, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=48, tm_sec=15, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=48, tm_sec=41, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=12, tm_min=49, tm_sec=7, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9335:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=20, tm_sec=14, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9336:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=20, tm_sec=41, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9336:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=15, tm_min=21, tm_sec=7, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9333:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=52, tm_sec=6, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9334:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=52, tm_sec=31, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9333:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=17, tm_min=52, tm_sec=57, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9330:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=23, tm_sec=47, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9330:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=24, tm_sec=13, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9330:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=20, tm_min=24, tm_sec=38, tm_wday=4, tm_yday=110, tm_isdst=1) 
ethanol: 	 25.9325:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=22, tm_min=55, tm_sec=35, tm_wday=4, tm_yday=110, tm_isdst=1) 
