acetone_chemspeed_2: 	 26.3388:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=49, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3388:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=49, tm_sec=35, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3388:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=50, tm_sec=1, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=21, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=21, tm_sec=35, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=22, tm_sec=1, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3386:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=7, tm_sec=20, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=7, tm_sec=46, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=8, tm_sec=12, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3385:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=39, tm_sec=22, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3385:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=39, tm_sec=48, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3385:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=40, tm_sec=13, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3388:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=11, tm_sec=31, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3389:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=11, tm_sec=56, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3389:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=12, tm_sec=22, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=43, tm_sec=27, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=43, tm_sec=53, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3387:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=44, tm_sec=19, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3383:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=15, tm_sec=39, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3383:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=16, tm_sec=4, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3383:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=16, tm_sec=30, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3381:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=47, tm_sec=37, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3381:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=48, tm_sec=3, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3381:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=48, tm_sec=29, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3382:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=19, tm_sec=44, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3382:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=20, tm_sec=10, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3382:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=20, tm_sec=36, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3384:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=51, tm_sec=43, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3383:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=52, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3383:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=52, tm_sec=34, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3377:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=23, tm_sec=48, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3377:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=24, tm_sec=14, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3377:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=24, tm_sec=40, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3377:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=57, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3377:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=57, tm_sec=34, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3377:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=58, tm_sec=0, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3375:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=29, tm_sec=14, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3375:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=29, tm_sec=39, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3375:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=30, tm_sec=5, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3370:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=22, tm_min=1, tm_sec=19, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3370:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=22, tm_min=1, tm_sec=45, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3370:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=22, tm_min=2, tm_sec=11, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3370:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=33, tm_sec=37, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3371:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=34, tm_sec=3, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3371:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=34, tm_sec=29, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3366:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=3, tm_min=5, tm_sec=51, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3366:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=3, tm_min=6, tm_sec=17, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3366:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=3, tm_min=6, tm_sec=43, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3367:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=38, tm_sec=4, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3367:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=38, tm_sec=30, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3367:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=38, tm_sec=56, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3362:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=10, tm_sec=10, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3362:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=10, tm_sec=36, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3362:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=11, tm_sec=2, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3359:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=42, tm_sec=39, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3359:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=43, tm_sec=5, tm_wday=4, tm_yday=271, tm_isdst=1) 
acetone_chemspeed_2: 	 26.3359:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=43, tm_sec=31, tm_wday=4, tm_yday=271, tm_isdst=1) 
