acetone_chemspeed_2: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=56, tm_sec=45, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=57, tm_sec=11, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=57, tm_sec=37, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=28, tm_sec=45, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=29, tm_sec=11, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=29, tm_sec=37, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2317:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=14, tm_sec=56, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=15, tm_sec=22, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2317:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=15, tm_sec=48, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=47, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=47, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=47, tm_sec=52, tm_wday=2, tm_yday=269, tm_isdst=1) 
