acetone_chemspeed: 	 26.2323:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=3, tm_sec=19, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2323:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=3, tm_sec=45, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2323:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=4, tm_sec=11, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2320:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=35, tm_sec=29, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2320:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=35, tm_sec=55, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2320:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=36, tm_sec=21, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2320:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=7, tm_sec=49, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2320:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=8, tm_sec=15, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2320:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=8, tm_sec=41, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2322:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=40, tm_sec=7, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2322:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=40, tm_sec=33, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2322:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=40, tm_sec=59, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=12, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=12, tm_sec=42, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2316:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=13, tm_sec=8, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=44, tm_sec=33, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=44, tm_sec=59, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2315:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=45, tm_sec=25, tm_wday=2, tm_yday=269, tm_isdst=1) 
