ethanol_chemspeed: 	 25.3893:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=32, tm_sec=9, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3894:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=32, tm_sec=34, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3893:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=33, tm_sec=0, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3893:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=4, tm_sec=19, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3892:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=4, tm_sec=45, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3892:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=5, tm_sec=10, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3892:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=36, tm_sec=33, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3892:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=36, tm_sec=59, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3892:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=37, tm_sec=25, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 25.3895:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=8, tm_sec=46, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3895:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=9, tm_sec=12, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3895:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=9, tm_sec=38, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3903:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=41, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3903:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=41, tm_sec=32, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3903:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=41, tm_sec=57, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3894:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=13, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3894:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=13, tm_sec=41, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3894:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=14, tm_sec=7, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3903:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=45, tm_sec=27, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3904:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=45, tm_sec=53, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 25.3904:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=46, tm_sec=19, tm_wday=2, tm_yday=269, tm_isdst=1) 
