ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=17, tm_sec=59, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=18, tm_sec=25, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2060:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=18, tm_sec=51, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=49, tm_sec=58, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=50, tm_sec=24, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=14, tm_min=50, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2058:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=21, tm_sec=55, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2058:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=22, tm_sec=21, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=17, tm_min=22, tm_sec=47, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2058:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=36, tm_sec=8, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=36, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=36, tm_sec=59, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2055:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=8, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2056:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=8, tm_sec=36, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2055:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=9, tm_sec=1, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2057:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=40, tm_sec=17, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2058:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=40, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2058:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=41, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=12, tm_sec=20, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=12, tm_sec=45, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2059:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=13, tm_sec=11, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.2058:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=4, tm_min=44, tm_sec=30, tm_wday=3, tm_yday=270, tm_isdst=1) 
