acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=18, tm_sec=38, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=19, tm_sec=4, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=19, tm_sec=29, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=50, tm_sec=46, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2760:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=51, tm_sec=12, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=51, tm_sec=38, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=23, tm_sec=5, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=23, tm_sec=31, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=23, tm_sec=57, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=55, tm_sec=23, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=55, tm_sec=49, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=56, tm_sec=15, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=27, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=28, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=28, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2758:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=59, tm_sec=50, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2758:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=7, tm_min=0, tm_sec=16, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.2758:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=7, tm_min=0, tm_sec=42, tm_wday=2, tm_yday=269, tm_isdst=1) 
