acetone_chemspeed_2: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=13, tm_min=12, tm_sec=1, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=13, tm_min=12, tm_sec=27, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2763:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=13, tm_min=12, tm_sec=53, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2761:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=44, tm_sec=2, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2762:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=44, tm_sec=28, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2762:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=44, tm_sec=54, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=30, tm_sec=14, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=30, tm_sec=40, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2760:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=19, tm_min=31, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2758:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=22, tm_min=2, tm_sec=18, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=22, tm_min=2, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=22, tm_min=3, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=34, tm_sec=21, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=34, tm_sec=47, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=0, tm_min=35, tm_sec=13, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=3, tm_min=6, tm_sec=21, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=3, tm_min=6, tm_sec=46, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2759:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=3, tm_min=7, tm_sec=12, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2766:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=38, tm_sec=31, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2766:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=38, tm_sec=57, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2766:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=39, tm_sec=23, tm_wday=3, tm_yday=270, tm_isdst=1) 
acetone_chemspeed_2: 	 26.2757:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=8, tm_min=10, tm_sec=32, tm_wday=3, tm_yday=270, tm_isdst=1) 
