ethanol_chemspeed_2: 	 25.1168:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=16, tm_sec=3, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=16, tm_sec=28, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=16, tm_sec=54, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=49, tm_sec=22, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=49, tm_sec=48, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1169:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=50, tm_sec=14, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1164:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=21, tm_sec=27, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=21, tm_sec=53, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=22, tm_sec=18, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=53, tm_sec=32, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=53, tm_sec=57, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1165:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=54, tm_sec=23, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1164:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=25, tm_sec=52, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1164:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=26, tm_sec=17, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1164:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=26, tm_sec=43, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1160:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=58, tm_sec=4, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1161:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=58, tm_sec=30, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1161:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=58, tm_sec=55, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1161:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=30, tm_sec=19, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1162:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=30, tm_sec=45, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1162:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=31, tm_sec=10, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=2, tm_sec=23, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1159:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=2, tm_sec=49, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1159:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=8, tm_min=3, tm_sec=15, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=34, tm_sec=52, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=35, tm_sec=18, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=35, tm_sec=44, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1157:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=7, tm_sec=18, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=7, tm_sec=44, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=8, tm_sec=10, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=39, tm_sec=27, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=39, tm_sec=53, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 25.1158:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=40, tm_sec=19, tm_wday=4, tm_yday=271, tm_isdst=1) 
