acetone_chemspeed: 	 26.4113:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=10, tm_sec=56, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4113:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=11, tm_sec=21, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4113:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=18, tm_min=11, tm_sec=47, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=43, tm_sec=6, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4110:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=43, tm_sec=31, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4110:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=43, tm_sec=57, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4111:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=15, tm_sec=25, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4112:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=15, tm_sec=51, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4112:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=23, tm_min=16, tm_sec=17, tm_wday=1, tm_yday=268, tm_isdst=1) 
acetone_chemspeed: 	 26.4110:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=47, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4110:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=48, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4110:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=48, tm_sec=35, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=19, tm_sec=53, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=20, tm_sec=18, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4109:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=4, tm_min=20, tm_sec=44, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4108:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=52, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4108:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=52, tm_sec=35, tm_wday=2, tm_yday=269, tm_isdst=1) 
acetone_chemspeed: 	 26.4108:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=53, tm_sec=1, tm_wday=2, tm_yday=269, tm_isdst=1) 
