ethanol_chemspeed_2: 	 26.3091:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=33, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3091:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=34, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3091:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=12, tm_min=34, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3091:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=5, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3091:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=6, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3091:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=15, tm_min=6, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=51, tm_sec=43, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=52, tm_sec=9, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=18, tm_min=52, tm_sec=35, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=23, tm_sec=46, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3095:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=24, tm_sec=12, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3095:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=21, tm_min=24, tm_sec=38, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3101:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=55, tm_sec=56, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3101:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=56, tm_sec=22, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3101:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=23, tm_min=56, tm_sec=47, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3099:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=27, tm_sec=53, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3099:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=28, tm_sec=19, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3098:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=2, tm_min=28, tm_sec=45, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=0, tm_sec=3, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=0, tm_sec=29, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=5, tm_min=0, tm_sec=55, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3093:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=31, tm_sec=59, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3093:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=32, tm_sec=25, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3093:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=7, tm_min=32, tm_sec=51, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=4, tm_sec=2, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=4, tm_sec=28, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3097:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=10, tm_min=4, tm_sec=54, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=36, tm_sec=9, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=36, tm_sec=34, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=12, tm_min=37, tm_sec=0, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=8, tm_sec=13, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=8, tm_sec=39, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=15, tm_min=9, tm_sec=4, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=41, tm_sec=31, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=41, tm_sec=57, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3094:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=16, tm_min=42, tm_sec=23, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3092:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=13, tm_sec=36, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3092:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=14, tm_sec=1, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3092:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=19, tm_min=14, tm_sec=27, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=45, tm_sec=40, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=46, tm_sec=6, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=26, tm_hour=21, tm_min=46, tm_sec=32, tm_wday=3, tm_yday=270, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3087:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=18, tm_sec=1, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3087:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=18, tm_sec=27, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3088:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=18, tm_sec=52, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3086:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=50, tm_sec=12, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3087:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=50, tm_sec=38, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3087:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=2, tm_min=51, tm_sec=4, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3092:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=22, tm_sec=28, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3092:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=22, tm_sec=54, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3092:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=5, tm_min=23, tm_sec=19, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3085:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=54, tm_sec=32, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3085:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=54, tm_sec=58, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3085:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=7, tm_min=55, tm_sec=24, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3083:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=27, tm_sec=1, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3083:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=27, tm_sec=26, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3083:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=10, tm_min=27, tm_sec=52, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3081:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=59, tm_sec=27, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3081:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=12, tm_min=59, tm_sec=53, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3081:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=13, tm_min=0, tm_sec=18, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3080:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=31, tm_sec=37, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3080:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=32, tm_sec=3, tm_wday=4, tm_yday=271, tm_isdst=1) 
ethanol_chemspeed_2: 	 26.3080:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=27, tm_hour=15, tm_min=32, tm_sec=29, tm_wday=4, tm_yday=271, tm_isdst=1) 
