ethanol_chemspeed: 	 26.2140:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=24, tm_sec=20, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2141:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=24, tm_sec=46, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2140:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=25, tm_sec=12, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2125:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=56, tm_sec=33, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2125:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=56, tm_sec=59, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2125:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=19, tm_min=57, tm_sec=24, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2107:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=28, tm_sec=48, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2107:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=29, tm_sec=13, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2107:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=29, tm_sec=39, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.2088:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=1, tm_sec=0, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=1, tm_sec=26, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=1, tm_sec=52, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=33, tm_sec=21, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2079:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=33, tm_sec=47, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2080:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=34, tm_sec=13, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2067:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=5, tm_sec=30, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2068:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=5, tm_sec=55, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2068:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=6, tm_sec=21, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2065:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=37, tm_sec=42, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2065:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=38, tm_sec=8, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.2065:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=38, tm_sec=34, tm_wday=2, tm_yday=269, tm_isdst=1) 
