ethanol_chemspeed: 	 26.3088:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=40, tm_sec=0, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3088:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=40, tm_sec=25, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3088:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=17, tm_min=40, tm_sec=51, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=12, tm_sec=9, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=12, tm_sec=35, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=20, tm_min=13, tm_sec=1, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=44, tm_sec=23, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=44, tm_sec=49, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=24, tm_hour=22, tm_min=45, tm_sec=15, tm_wday=1, tm_yday=268, tm_isdst=1) 
ethanol_chemspeed: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=16, tm_sec=46, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=17, tm_sec=12, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=1, tm_min=17, tm_sec=38, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3093:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=48, tm_sec=56, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3093:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=49, tm_sec=22, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3093:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=3, tm_min=49, tm_sec=47, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=21, tm_sec=6, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=21, tm_sec=32, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3089:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=6, tm_min=21, tm_sec=57, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=53, tm_sec=18, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=53, tm_sec=44, tm_wday=2, tm_yday=269, tm_isdst=1) 
ethanol_chemspeed: 	 26.3090:	 time.struct_time(tm_year=2024, tm_mon=9, tm_mday=25, tm_hour=8, tm_min=54, tm_sec=10, tm_wday=2, tm_yday=269, tm_isdst=1) 
