acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=30, tm_sec=46, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=31, tm_sec=12, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=31, tm_sec=38, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9170:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=2, tm_sec=50, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9170:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=3, tm_sec=16, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9170:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=3, tm_sec=41, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9165:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=34, tm_sec=52, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9165:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=35, tm_sec=18, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9165:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=35, tm_sec=44, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9164:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=6, tm_sec=56, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9164:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=7, tm_sec=22, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9165:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=7, tm_sec=47, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9166:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=22, tm_min=39, tm_sec=4, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9166:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=22, tm_min=39, tm_sec=29, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9166:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=22, tm_min=39, tm_sec=55, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.9168:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=11, tm_sec=0, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9168:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=11, tm_sec=26, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9168:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=11, tm_sec=52, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9168:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=1, tm_min=43, tm_sec=7, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9169:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=1, tm_min=43, tm_sec=33, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9169:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=1, tm_min=43, tm_sec=59, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9169:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=3, tm_min=15, tm_sec=13, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9169:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=3, tm_min=15, tm_sec=39, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9169:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=3, tm_min=16, tm_sec=5, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=4, tm_min=47, tm_sec=15, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=4, tm_min=47, tm_sec=41, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=4, tm_min=48, tm_sec=7, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=6, tm_min=19, tm_sec=26, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=6, tm_min=19, tm_sec=52, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9172:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=6, tm_min=20, tm_sec=18, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9172:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=7, tm_min=51, tm_sec=26, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9172:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=7, tm_min=51, tm_sec=52, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9172:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=7, tm_min=52, tm_sec=18, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=23, tm_sec=38, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9171:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=24, tm_sec=4, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.9172:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=24, tm_sec=30, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=19, tm_hour=17, tm_min=5, tm_sec=54, tm_wday=5, tm_yday=167, tm_isdst=1) 

