ethanol_chemspeed: 	 25.3033:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=7, tm_min=36, tm_sec=8, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 25.3034:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=7, tm_min=36, tm_sec=33, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 25.3033:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=7, tm_sec=50, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 25.3033:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=8, tm_sec=16, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 25.3034:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=9, tm_min=8, tm_sec=42, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=10, tm_min=31, tm_sec=38, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=10, tm_min=32, tm_sec=4, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0007:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=10, tm_min=32, tm_sec=29, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=42, tm_sec=12, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=42, tm_sec=38, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0005:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=11, tm_min=43, tm_sec=3, tm_wday=5, tm_yday=167, tm_isdst=1) 
ethanol_chemspeed: 	 -0.0006:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=12, tm_min=52, tm_sec=55, tm_wday=5, tm_yday=167, tm_isdst=1) 
