acetone_chemspeed: 	 25.8148:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=53, tm_sec=44, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8149:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=54, tm_sec=10, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8149:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=54, tm_sec=36, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8145:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=25, tm_sec=41, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8145:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=26, tm_sec=6, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8146:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=26, tm_sec=32, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8143:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=57, tm_sec=47, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8143:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=58, tm_sec=13, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8143:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=58, tm_sec=38, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8142:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=29, tm_sec=51, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8143:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=30, tm_sec=17, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8143:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=30, tm_sec=42, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8144:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=23, tm_min=1, tm_sec=51, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8145:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=23, tm_min=2, tm_sec=17, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8145:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=23, tm_min=2, tm_sec=42, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8145:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=33, tm_sec=56, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.8146:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=34, tm_sec=22, tm_wday=5, tm_yday=167, tm_isdst=1) 
