acetone_chemspeed: 	 25.8261:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=38, tm_sec=28, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8261:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=38, tm_sec=53, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8260:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=16, tm_min=39, tm_sec=19, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8259:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=10, tm_sec=24, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8259:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=10, tm_sec=50, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8259:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=18, tm_min=11, tm_sec=16, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8253:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=42, tm_sec=27, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8253:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=42, tm_sec=53, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8254:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=19, tm_min=43, tm_sec=19, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8252:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=14, tm_sec=30, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8253:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=14, tm_sec=55, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8253:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=21, tm_min=15, tm_sec=21, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8254:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=22, tm_min=46, tm_sec=38, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8254:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=22, tm_min=47, tm_sec=4, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8254:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=14, tm_hour=22, tm_min=47, tm_sec=29, tm_wday=4, tm_yday=166, tm_isdst=1) 
acetone_chemspeed: 	 25.8256:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=18, tm_sec=40, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.8256:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=19, tm_sec=5, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.8256:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=0, tm_min=19, tm_sec=31, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.8256:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=1, tm_min=50, tm_sec=42, tm_wday=5, tm_yday=167, tm_isdst=1) 
acetone_chemspeed: 	 25.8256:	 time.struct_time(tm_year=2024, tm_mon=6, tm_mday=15, tm_hour=1, tm_min=51, tm_sec=8, tm_wday=5, tm_yday=167, tm_isdst=1) 
